school_course_id,title,status,effective_start_quarter_id,effective_end_quarter_id,school_url,credits
ACCT-430-0,Accounting For Decision Making,Active,1,,,1
ACCT-431-0,Managerial Accounting,Active,1,,,1
ACCT-438-B,Accounting for Decision Making,Active,1,,,0.5
ACCT-440-0,MMM Accounting for Decision Making,Active,1,,,1
ACCT-451-0,Financial Reporting and Analysis,Active,1,,,1
ACCT-499-0,Independent Study,Active,1,,,0.99
ACCT-520-4,Seminar on Agency Theory and Information Economics,Active,1,,,1
ACCT-520-6,Seminar on Institutional Factors Relevant to Empirical Accounting Research,Active,1,,,1
BLAW-435-0,Business Law I,Active,1,,,1
BLAW-437-0,Issues In Antitrust,Active,1,,,1
BLAW-911-A,Business Law for Entrepreneurs,Active,1,,,0.5
DECS-430-B,Business Analytics I,Active,1,,,0.5
DECS-431-0,Business Analytics II,Active,1,,,1
DECS-438-A,Managerial Decision Analysis,Active,1,,,0.5
DECS-439-B,Statistical Decision Analysis,Active,1,,,0.5
DECS-440-0,MMM Business Analytics,Active,1,,,1
DECS-452-0,Game Theory and Strategic Decisions (formerly Strategic Decision Making),Active,1,,,1
DECS-915-0,Analytical Consulting Lab (ACL),Active,1,,,1
FINC-430-0,Finance I,Active,1,,,1
FINC-440-0,Finance I/II,Active,1,,,1
FINC-441-0,Finance II,Active,1,,,1
FINC-442-0,Financial Decisions,Active,1,,,1
FINC-444-0,Value Investing (formerly FINC-925 Advanced Topics in Finance),Active,1,,,1
FINC-446-0,Entrepreneurial Finance,Active,1,,,1
FINC-448-0,"M&As, LBOs and Corporate Restructuring",Active,1,,,1
FINC-454-0,Real Estate Finance and Investments,Active,1,,,1
FINC-455-A,Real Estate Finance and Investments II,Active,1,,,0.5
FINC-461-0,Investment Banking,Active,1,,,1
FINC-463-0,Securities Analysis,Active,1,,,1
FINC-465-0,Derivatives Markets I,Active,1,,,1
FINC-470-0,International Finance,Active,1,,,1
FINC-484-A,Thought Leadership Seminar: Contemporary Issues in Finance,Active,1,,,0.5
FINC-499-0,Independent Study,Active,1,,,0.99
FINC-499-A,Independent Study,Active,1,,,0.5
FINC-499-B,Independent Study,Active,1,,,0.99
FINC-520-0,Topics in Finance,Active,1,,,1
FINC-520-1,Seminar In Finance,Active,1,,,1
FINC-530-0,Special Topics in Finance: Empirical Methods in Finance,Active,1,,,1
FINC-915-0,Venture Lab (V-Lab),Active,1,,,1
FINC-916-B,VC Experience,Active,1,,,0.5
FINC-931-0,"Wall Street, Hedge Funds and Private Equity",Active,1,,,1
FINC-933-0,Asset Management Practicum I,Active,1,,,1
FINC-936-0,Asset Management Practicum IV,Active,1,,,1
FINC-936-C,Asset Management Practicum IV,Active,1,,,0.5
FINC-937-A,Microfinance & the Role of Financial Institutions in Development,Active,1,,,0.5
FINC-939-0,Buyout Lab (B-Lab),Active,1,,,1
FINC-940-A,Financial Modeling for Leveraged Buyout Transactions,Active,1,,,0.5
FINC-941-0,Macroeconomic Policy and Global Capital Markets,Active,1,,,1
FINC-945-0,Global Entrepreneurial Finance,Active,1,,,1
FINC-970-0,Empirical Methods in Finance,Active,1,,,1
HEMA-914-0,Biomedical Marketing (formerly BIOT-914-0),Active,1,,,1
HEMA-921-A,Health Information Technology,Active,1,,,0.5
HEMA-922-B,Health Care Quality,Active,1,,,0.5
